s.no	worker_id	original_tableid	original_hypothesis	original_label	modified_tableid	modified_hypothesis	modified_label
0	IA0	T745	The men's 50 kilometre freestyle at the XXII Olympic Winter Games had more than 50 competitors.	E	T745_mod_1	The men's 50 kilometre freestyle at the XXII Olympic Winter Games had more than 50 competitors.	C
0	IA1	T787	Republic of Cuba is a multi-ethnic, mono-lingual nation.	E	T787_mod_1	Republic of Cuba is a multi-ethnic, mono-lingual nation.	C
0	IA0	T787	The Republic of Cuba practices a capitalist system.	C	T787_mod_2	The Republic of Cuba practices a capitalist system.	E
0	IA0	T940	Bruges is a city with over 100,000 in population.	E	T940_mod_1	Bruges is a city with over 100,000 in population.	C
0	IA1	T1182	Jennifer Esposito and Irina Shayk have both been married to Bradley Cooper.	C	T1182_mod_1	Jennifer Esposito and Irina Shayk have both been married to Bradley Cooper.	E
0	IA1	T1390	The horse Cape Cross made over a million dollars.	C	T1390_mod_1	The horse Cape Cross made over a million dollars.	E
0	IA1	T1443	Karachi is in Pakistan.	E	T1443_mod_1	Karachi is in Pakistan.	C
0	IA0	T1443	Karachi has a half dozen districts.	E	T1443_mod_2	Karachi has a half dozen districts.	C
0	IA0	T1443	The second decade of the 21st century is when Karachi was made a Metropolitan Corporation.	C	T1443_mod_3	The second decade of the 21st century is when Karachi was made a Metropolitan Corporation.	E
0	IA1	T1518	Jurassic Park runs for less than two hours.	C	T1518_mod_1	Jurassic Park runs for less than two hours.	E
0	IA0	T29	Bullet for My Valentine has been active for more than 25 years as a band.	C	T29_mod_1	Bullet for My Valentine has been active for more than 25 years as a band.	E
0	IA1	T1586	Kappa Coronae Borealis b has an apparent magnitude over 5.	C	T1586_mod_1	Kappa Coronae Borealis b has an apparent magnitude over 5.	E
0	IA0	T29	Bullet for My Valentine is a band that has been playing since the late 1990s.	E	T29_mod_2	Bullet for My Valentine is a band that has been playing since the late 1990s.	C
0	IA1	T1586	Kappa Coronae Borealis b is over 100 light years away.	E	T1586_mod_2	Kappa Coronae Borealis b is over 100 light years away.	C
0	IA0	T1688	John Cyril Porte lived in two different centuries.	E	T1688_mod_1	John Cyril Porte lived in two different centuries.	C
0	IA0	T154	Charlie Sheen does not use his original surname.	E	T154_mod_1	Charlie Sheen does not use his original surname.	C
0	IA0	T1875	There was only one issue of Identity Crisis.	C	T1875_mod_1	There was only one issue of Identity Crisis.	E
0	IA0	T294	Fast & Furious is an American film.	E	T294_mod_1	Fast & Furious is an American film.	C
0	IA0	T294	Fast & Furious was not a profitable movie.	C	T294_mod_2	Fast & Furious was not a profitable movie.	E
0	IA0	T68	The band Jet was formed in Australia.	E	T68_mod_1	The band Jet was formed in Australia.	C
0	IA0	T405	Republic of Burundi is a multi-lingual, multi-ethnic country.	E	T405_mod_1	Republic of Burundi is a multi-lingual, multi-ethnic country.	C
0	IA0	T68	Jet has made music for 5 or more record companies.	C	T68_mod_2	Jet has made music for 5 or more record companies.	E
